GaiaDR3,SpType
32682437674901248,DQ:
32752011850354816,"DA "
32852857682257024,"DA "
32880762085326336,"DA "
32907901983168640,"DA "
32926456241929984,"DA "
32983321608967168,DA:
33253423512060544,"DA "
33261399267173248,"DA "
33325372804594304,"DA "
33554517899463040,"DA "
33656531962611072,"DA "
33679729081655552,"DA "
33728382471118720,DC:
33788752531471488,"DA "
34033149055372032,DA:
34095511980072576,"DC "
34496906739449344,"DA "
34799714818415872,"DC "
34881117333814144,"DA "
34947633491917952,"DA "
35109467859727488,DA:
35328579914493184,DA:
35350604503572480,"DC "
35359744194037632,"DA "
35425611812564224,"DA "
35497904701569920,DC:
35648537794568320,"DA "
35994372856799744,"DB "
36075324401936512,"DA "
36196060225789184,"DA "
36204856318593280,"DA "
36207059639735296,"DA "
36321786805002880,"DA "
36776366143888384,DC:
36907203730832768,"DA "
36918203143996544,DA:
37006503374311680,"DA "
37136937238613888,"DA "
37216445670856960,"DA "
37238161027327104,"DA "
37356594748701824,"DA "
37382124034305792,"DA "
37474001974838016,"DA "
37653226665051008,DB:
37661232485987968,"DA "
37719055629159936,"DA "
37731940530436096,"DA "
37782178765144832,"DA "
37833817155024512,"DA "
37846221020599808,"DA "
37947552185907968,"DA "
37976345646670464,"DA "
38113539785170176,"DA "
38210846564133632,"DA "
38317739709951616,"DA "
38360414505074176,"DB "
38416936274924416,"DA "
38532728593335296,"DA "
38711918925673856,"DA "
38747962291181056,"DA "
38748408967775872,"DA "
38789636356779264,"DA "
39124751182907520,"DA "
39127117707299712,DC:
39261223766074880,DC:
39305036729495936,"DA "
39387328302768640,"DC "
39466420125673728,"DA "
39475117435006336,"DA "
39480404537286656,"DA "
39495385383245568,"DA "
39509232357903616,"DA "
39629079125032192,"DA "
39634645402701568,DA:
39736006630929664,"DA "
39755076285650304,"DA "
39938900885577600,"DA "
40193197309685888,"DA "
40336786656124800,"DA "
40492642429187584,"DA "
40827546799068160,"DA "
41026764562266368,"DA "
41071161640698752,"DA "
41508526750760960,"DA "
41518658576469760,"DA "
41518658576469888,"DA "
41523159702210688,"DA "
41606589444200960,"DA "
41861637485088512,DA:
42174998299513728,"DA "
42197160330313088,"DA "
42263096668500864,"DA "
42315048592543872,"DA "
42329204804816512,"DA "
42419227319401344,"DA "
42451804648171904,"DB "
42779626615619584,"DA "
42833232103539840,"DC "
42871199614383616,DA:
42871268333859584,"DA "
42873261198635904,DC:
42934004919340032,"DA "
43028734718634368,DA:
43129206888307584,"DA "
43146489838152064,"DA "
43166551629211904,"DA "
43482248904731648,"DA "
43629828277884160,"DA "
43755133947362816,"DA "
43835952349534336,"DA "
44061042994622208,"DA "
44085163530874496,"DA "
44134980855106944,"DA "
44163911754620288,"DA "
44231703518649472,"DA "
44266750451797760,DA:
44403089893740288,"DZ "
44478578238260864,"DA "
44556579141068544,"DC "
44581764827781632,"DA "
44582933060466560,"DA "
44585299586084736,"DA "
44887321686848128,"DA "
44901791432527232,"DQ "
44944947263942144,"DA "
44961023325490176,"DA "
45011639516001536,DA:
45135330277891328,"DA "
45293488153371776,"DA "
45297409459299328,"DA "
45373958660583296,"DA "
45980377978968064,"DA "
46123555007543552,"DA "
46195568724602752,"DA "
46212439356238720,"DA "
46370940828875264,DA:
46597062267089920,"DA "
46620053229801344,"DA "
46631799963310208,"DA "
46842051498047872,"DA "
46896958359881728,"DA "
46954540985002624,DA:
47572810117775744,"DA "
47661767479830016,"DA "
47762235355241856,DA:
47842813237885056,"DA "
48419021753929216,"DA "
48522895539002624,"DB "
48567318384562816,DA:
48569929724671360,"DA "
48601544980508672,"DB "
48669676045310464,"DA "
48685172287390592,DC:
48712973611807616,"DA "
48825707913208704,"DA "
48825703617706880,"DA "
48829075167625472,DA:
48883840294734208,DC:
49013483883923968,"DA "
49145906315890944,"DB "
49209948571455872,"DA "
49275713110482816,"DA "
49488331171442560,"DA "
49626182442067968,"DA "
49812515303152000,"DA "
49936794477027968,"DA "
50064715783223296,"DA "
50074065928679552,"DA "
50089557874098688,"DA "
50354578833209984,"DA "
50456318016101120,"DA "
50526755482496000,DA:
50593477796911104,DA:
50877018654811392,"DA "
50955427576926720,"DA "
50956866389329536,DC:
50993356431635072,"DA "
51017343825478400,DA:
51090628850761088,"DQ "
51230060669059072,DA:
51338126343808000,"DA "
51346505822600320,"DA "
51361731483812096,"DB "
51369526847118464,"DA "
51479546729991552,"DA "
51519129148306048,"DA "
51567821194916736,"DA "
51619390865334272,"DA "
52193374592705536,"DC "
52199009586145024,"DA "
52283667689204096,"DA "
52391797783065088,"DA "
52466220976727296,"DA "
52535352770689024,"DA "
52557824039131520,"DA "
52776077097423232,"DA "
52800575591167232,"DA "
52829265973005056,"DA "
52949765574960256,"DA "
52979418028662272,"DA "
52985980738755072,"DA "
53022195903806976,DC:
53042472446551424,"DA "
53122973016215552,"DA "
53207910288829568,"DA "
53278867446391040,"DA "
53357340790958848,"DA "
53601367947852032,"DA "
53716846734195328,"DA "
54001448447059712,DA:
54029623432931968,"DA "
54097243397219712,"DC "
54114354546799616,"DA "
54253618862057728,"DA "
54421324449700096,DA:
54713901916661376,"DA "
54755958239140736,"DA "
54844980023490560,"DA "
54866042543161728,"DA "
54993654611672704,"DC "
55074541732889600,"DA "
55103056018558592,"DA "
55200745050158976,"DA "
55247298199862912,"DA "
55261591851036544,"DA "
55288839124287488,"DA "
55324577547215104,"DA "
55692089307977088,"DA "
55764721500108928,"DA "
55770081619664768,"DC "
55783726731081984,"DB "
55841068838886656,"DA "
55847081793149568,DA:
55941987687105152,"DA "
55981600168846080,"DA "
56010088686601856,"DA "
56048945255703680,"DA "
56070969848077312,"DA "
56070969848079488,"DA "
56288333849501696,"DA "
56413781254648960,"DA "
56446624870469376,"DA "
56529573573742848,"DA "
56621554593127808,"DC "
56936388578597120,"DA "
56978277396259072,"DA "
57021123989934464,"DA "
57179243211408000,"DA "
57359563116500352,"DA "
57423918905989120,"DA "
57499033591773824,"DZ "
57540742017257856,"DC "
57630150352954880,"DA "
57702271441443840,"DA "
57835445493315456,"DA "
57973124964172544,"DA "
58120837480210816,"DA "
58778826469293440,"DA "
58788206678194944,"DB "
58911077102563968,"DA "
58942722421881728,"DA "
58957462748978560,"DA "
58958734059314816,"DA "
59004677325188864,"DB "
59077760488621184,"DA "
59089575943100544,"DC "
59117372971786880,"DB "
59227908249563392,"DA "
59370127502651264,"DA "
59518316758800768,"DA "
59521580936483328,"DA "
59726644147616384,"DA "
60007152756147584,"DA "
60053813281298176,"DA "
