GaiaDR3,SPPred
" 133939246617303680",DA
" 134083729316431872",DA
" 134474055945398400",DC
" 134954473809189888",DA
" 135432039810291456",DC
" 135554253103930880",DA
" 135715232773818368",DA
" 136540274515184768",DC
" 136610338318092544",DA
" 136692075844561280",DC
" 137141810455464192",DC
" 137481559548474368",DA
" 139331247344776832",DA
" 139623068897753856",DA
" 139937559287208192",DQ
" 140253260859027200",DB
" 140562219332587008",DA
" 141373182171871360",DA
" 143076256963396480",DA
" 143385185371780352",DC
" 143432082117652736",DC
" 143795092753492480",DA
" 144039905890556160",DC
" 145429108768875008",DC
" 147095826660107520",DA
" 147448842907369216",DC
" 147661731550958976",DA
" 147985404582267648",DA
" 149824883240282496",DA
" 149884909703520000",DC
" 150371374878785792",DA
" 150577571966860288",DC
" 150577636388844160",DA
" 151015826131149440",DC
" 151649557145522048",DA
" 151650935831913216",DA
" 152091973137497216",DA
" 152371871863155840",DA
" 152740654933891072",DA
" 152931141027253888",DZ
" 153007870619276032",DA
" 153229044254825728",DAH
" 153973718569653760",DA
" 154198607352612480",DC
" 154230836785464960",DC
" 154537772330054656",DC
" 155051141179252352",DA
" 155361581416900992",DA
" 155656692914742016",DA
" 156163224178069120",DZ
" 156379484371175552",DA
" 157983774913609088",DC
" 158800402816375552",DC
" 158800402816378240",DC
" 159266973704562304",DC
" 159277625222514048",DC
" 160609820997846528",DC
" 161914739438405632",DA
" 162653160663515008",DC
" 163866883676876288",DC
" 164297449857329408",DA
" 165066141626360320",DA
" 165677710612522752",DZ
" 166091096919353088",DC
" 166781895161704960",DA
" 167602478730771456",DC
" 168604374341638912",DA
" 168852035037491072",DA
" 168962535956695424",DC
" 169312043214604160",DC
" 169819227313335168",DC
" 170065281698249728",DA
" 170540923553084160",DC
" 170575317652517888",DA
" 170648503898774912",DA
" 170848443216354688",DA
" 171167297288172544",DC
" 171354974476449024",DC
" 171830238376804992",DC
" 172076146729455872",DC
" 172616247455056384",DA
" 175702855768911360",DA
" 175817750438186240",DA
" 175817887877152896",DC
" 176047582728376576",DC
" 177231103915588992",DA
" 177368203568437120",DA
" 178491526493087232",DC
" 179993253217618816",DA
" 180086020217816704",DC
" 180086020218649344",DC
" 180898250074037376",DC
" 180907772018689152",DA
" 181170585358665088",DA
" 181780745593007616",DC
" 184735992329821312",DBA
" 187035964497229568",DC
" 187330225592045824",DA
" 187576000803144704",DA
" 188282638883880448",DA
" 188525291651254528",DC
" 189135413232419072",DC
" 189312022285083776",DA
" 190243755313410816",DZ
" 190584264613181568",DA
" 190802650815160960",DA
" 190998058945380608",DA
" 191051797573331968",DA
" 191279838861685120",DC
" 191791970763158528",DC
" 191894122266140160",DC
" 192275966334956672",DA
" 193658666630832384",DA
" 193786901466137856",DC
" 194127475197812992",DA
" 194394347281717504",DA
" 195470288131984128",DQ
" 196156864422578432",DA
" 196193418887257600",DA
" 196617731593326976",DC
" 197048460976343168",DC
" 197328114893527680",DA
" 197605260537796352",DA
" 198027266851070848",DA
" 198358322923666304",DC
" 198672512664823040",DC
" 199060743352070528",DA
" 199845171881571456",DA
" 200018933376395520",DA
" 200816315526176384",DC
" 200908129047941888",DA
" 200960046611842432",DA
" 201854258801563520",DA
" 201881364339401728",DA
" 202160640293063680",DC
" 202523685285387136",DC
" 203141816984227712",DC
" 203343061967608960",DC
