gaiaedr3,spectype
582719309931752576,D
582729312907277568,DA
582779817427375488,DA
582801670221039104,DA
582802361711105152,DZ
582862766131042432,DC
582866889299621888,DA:+M
582879254509867904,DA
582888256761324288,D
582901519620616192,DA
582929351009283328,DA
582948214504809600,DA+DB/DC
582960274773077888,DA
582996077620826112,DA
583017522392120064,DA+M
583027727234795392,DA
583040058086202240,DA
583108811922171776,DA
583109499116951680,DB
583132932458590848,DA
583172892834435712,DA
583193955355865984,DA+M
583240237921265280,DA
583260647605943936,DA
583264667695352576,DA
583323422848040576,DB
583333696409464576,DA
583399460948891648,DA
583419252158300800,DA
583455501682292992,DA
583456090093946240,DC
583456223236799232,DA
583482027400491136,DA
583533124626862464,DA
583556725471524352,CND
583590604173244672,
583593696549710080,DZ
583604897824754688,DQ
583632007658595328,DA
583637677015440512,
583652730876035072,DA
583680076932129024,DA
583700933293351296,DA
583775322127158656,DC
583804012508568064,DA
583829851032128000,DA
583834420877132672,DA
583846343705983360,sdO
583878985457436544,DA
583949251122623232,DA
583995091309178624,DA
584030962876005632,DA
584038826960984192,sd
584038899975711616,DA+M
584063737770574976,DA
584076382154410752,DA
584171356766917120,DB
584194373496664064,He-sdO
584202722912554240,DA
584291336678284288,DA
584319855260594560,DA
584363182890620928,DA
584401463934612352,DA
584401493999361152,DA
584402318633098624,DQ
584438641171492608,DA+M
584501485133013632,DA+M
584506016322929792,DA
584512853910932736,DA
584516221165312512,DA
584551817854723584,DC
584616482882438400,DB
584640775222204288,DA
584668056849158528,He-sdO
584683076350143232,DA+M
584688088576825088,DC+M
584688848786155392,DC
584707501829311488,DA
584707506125391488,DQ
584708498264899840,DC
584714614294729088,DA
584716401001115392,DZA
584781753223744512,DA
584855523581768064,DA
584863014004766336,DA
584921975315693952,DBZ
584968773279756032,DZ
584990046252700160,DAH:
585018869778449664,DB
585062369206520960,DA
585113737015614720,DA
585130504568366464,DA
585164761227127424,DA
585233068387425280,DA
585263992151345280,DA
585269768882827136,DA
585327592027498112,DA+M
585335116810252288,DA
585464171987046784,DA
585466542809026176,DA
585488567401589248,DAH
585494545996081024,D(AH):
585513959248023936,DA
585536293078010496,DB:
585578418117672064,DA
585589275795065984,DA
585638959976563968,DA
585660537892435328,DA:
585666585206327680,DA
585669265265965440,DA
585672220203501824,DQ
585700189030449920,DA
585704655796760576,DA
585745067143943168,WD+M
585746368518389504,DA
585798217363923456,DA
585802443611673600,CND
585841167036918656,DB
585877867532382592,DA
585903912214046336,sdB
585954554173586304,DA
585982905252126976,
586002245490053504,DA
586017157616528768,DA
586040384799889408,DA
586043309672965888,sdB
586070934902609280,DA
586073163990535424,DZ
586075122495366400,DC
586153634497760000,DA
586175521650498688,DA
586205792580210432,DA
586214313800037504,DA
586271866357496192,DB
586292933172097408,DBZ
586312032891775616,DA
586317770967252736,WD+M
586410233023686400,DA
586517126170042112,DA
586567634985558144,DA
586582718909994496,DA
586608660512383744,DB
586662880179740672,DA
586743629860047616,sdA
586807465958804736,DA
586988644859592960,DA
587036099953196928,DA
587062827534376064,DA
587185874052506112,DB
587211639561083136,WD+MS
587249847590724992,DA
587274380443421056,DA
587303139544171008,DC
587333105531418112,DA
587358355644138880,DA
587365571189045248,DA
587409139337287680,DA
587431816764662528,DA+M
587484528898551552,sdOB
587500639320567680,DB+M
587518441960356480,DA
587551904050090496,DA:
587551904050090496,DA
587554309231779840,DB
587575646629361920,DA+M
587578670286348160,CV
587603134420216448,DA
587609868928675456,DA
587622861205266688,DBA
587640998851785088,DC
587644503545164928,DB
587657491526124160,DA
587706866470531456,
587746624983018624,DA
587767202170593536,DA
587787371337147520,DA
587823689581300864,DA
587842179415099904,DAH:
587854922583291776,DA
587865166080274560,DA
587885502749907072,DA
587891618783378432,DA
587900900208157568,sdB+MS
587953535032442624,DZ
587993942084898944,DA:
588015867892630272,DA
588035212424892416,DA
588040469465211904,sdOB
588062253539347200,DA
588063421770438400,DA
588078329602228992,DA
588112792419643136,DB
588134026738024704,DA
588191824112710272,CND
588237415191007232,DA
588252052439384064,DB
588279712029554176,DA+M
588293662082044032,DBA
588303042290599168,DA
588303317168531840,DA
588328678950739968,DA
588332900903805824,DQ
588348156627674624,DA
588349771535238912,DQ
588349805894986624,DC
588355853208606080,DA:
588356162446261120,DA
588388082642943616,DA
588388220081897984,DB
588395027605042688,
588530847356236672,DA
588639321049959296,DBA
588666224725357312,DA
588707525131257984,DC
588723639847804160,DA
588727213260614272,DA
588778512350129280,DA:
588778993386454144,DA
588813460499195264,DA
588990756749380864,DA+M
589015633199944064,DA
589050710197972736,DA
589112493302451072,DA
589114657965854080,DA+M
589157603343407744,DA
589197288841336064,DB
589285627728700160,DA
589288754464904576,DA+M
589327855847301504,sdA
589373107623006464,DA+M
589429801190998912,DA
589502472037860352,DA
589517899560523520,DAH
589552499817065600,DAH
589554973717852544,sdB
589626338894568320,DB
589674614326779136,DOA;PG1159
589984333009099520,DA
590009587416046720,DA
590030237618970624,DA
590038415236778240,DA
590047834100654976,DC
590054976630524416,sdB
590127956715333632,DA
590130911652126720,DA
590132251681928576,DB
590136512289504384,sdA
590139261068595712,DA
590155685024227328,DA
590160220509709440,DA
590172383856603904,DC
590183142750379136,DZ
590264708473414784,DA+M
590291955746064000,DA
590309719730940288,DA
590316282441032704,DA
590329820177767936,DA
590331881762142208,DA
590383524449191040,DA
590401876844562432,DA
590404831782112640,DA:
590414757450831104,DB
590428505641660800,DA
590479903515064832,DB
590498389054459264,DA+M
590527324249184384,DA
590555735457825024,DA
590618064022891904,
590633972581874816,DA
590659811105467392,DA
590669363112793600,DA
590755434256864896,DA
590765913977463296,DA
590773782357667968,DC
590775122387470592,DC
590818690535051264,DA
590825493763246208,DC
590839615615790464,DA
590843017229927040,DA
590880916021900672,DA
590884558154174208,DA
590899710798391168,DA
590959187505695872,DA
590975439661953152,DA
591028456737735936,DA
591035401700362368,DB
591040864898749312,DQZ
591056975320973824,DA+M
591068558847397888,
591095561307269248,DA
591112504953277440,DA
591125419920174976,DZ
591146722957737856,DA
591207406550605312,DQ
591265023536420992,DAH
591304949552542336,DA
591379647624348928,DA
591384496642181888,DA
591386244694156672,DA
591395899779974528,DA
591397892645460224,DA
591424250859434496,DA+M
591477882115977216,DB
591480562175886080,DB:DC
591517773772424576,DZ
591597007329126656,DA
591630370635244288,DA
591659335894249728,DBA
591660508420654848,DC
591666658813820544,DA
591710016508717696,DBA:
591730258689353600,DA
591785367414573312,DA
591869548773874176,DA
591924112038344192,DC
591942700656254720,sdB
591960808238425856,DB
591988265964810112,DZ
592004135869059072,DA
592019425952313600,DA
592045504994181760,DA
592059145810439808,CV
592116771385829632,DC
592153841249043328,DB
592168684656171520,DA
592249739278809472,DA
592286023162050560,DA
592290318129371776,DA
592297327516259968,sdA
592300626051159424,DA
592306329767784320,DA+M
592323269118841728,D+M
592384601251437696,DA
592465518435656064,WD+M
592571690026968320,DA+M
592605431290049152,DC
592663671046514944,DA
592705834740753152,DBA:
592814063621816832,DA
592922674754320512,DA
592946005016647040,DA
592963287965136256,DA
592975799205298432,DA
592980192956481920,DA
592998197459316480,DA
593062725054765696,DQ
593065065805502080,sdA
593203977932915712,DA
593235077791067904,DA
593252425163789696,DB
593272044574436224,DA
593279019601167488,DA
593299223127702528,DA
593311867511349504,DA
593359627547642624,DB
593382927745130496,DA
593429961932156544,DA
593434085103539200,DA
593454670878796032,He-sdO
593538676144056448,CND
593551801563915520,DBZA
593589769074864128,DA
593650826329812992,DA
593666597450284160,DA
593676424335417856,DA
593684017837254272,DA
593759162585624448,DA
593783420560219392,DA
593788888053932160,DA
593879112431981824,DA
593894608673835264,DA
593918802224747776,DA
593951783278576640,DA
593962469157016704,DA+M
594009615013005568,DA
594057748711216384,DA
594107093590927104,WD+M
594116366425186944,DA
594116370720276992,CND
594146225037566976,DABZ
594212058296392192,DA
594229753561550208,DA
594257481870496000,DA
594312251293854848,DA
594439519764767232,DBA
594493258395498112,DBA
594495010742168960,DA
594529198682089088,DA
594540949711973888,D
594542190958172032,sdB
594586888682990208,DA
594606370654085504,DA
594642791976976256,DA
594669558213377536,DBA
594714603830616192,DA
594719242394336640,D
594764631609133952,DA_Cv
594825070388684288,DA
594922518902398976,DA
594931314996657920,DA
594933922039786752,DA
594989069420638208,sdO
595006352368546944,DA
595008242154751616,sdB
595011162732532224,DA
595014736144301696,DA
595046793780938496,DA
595068715293596288,DA
595093591744725120,DC
595113142434955264,DA
595125374502283264,DA
595128265015393152,sdB
595132418248229888,DBA
595140664585912064,DA
595175715813964544,DC
595182102430559360,DA
595187191966789888,DA
595200317386783232,DA
595215740614211712,DA
595262749031406208,DBA:
595270136375043712,DA
595313940746149248,DA
595314249983908864,DA
595336068418297600,DA
595349399996804864,DA
595370810408781056,DA
595409323379981440,DAZ
595488144619694080,DA
595512333875785216,DB
595523500790770688,sdO
595557516931730432,DC
595568340249341568,sdA
595589063466712832,DA
595592323347114368,DA
595617852632038144,CND
595621980096942208,DA
595649124290271616,sdB
595670427327878528,DA
595671625622391936,DA
595683380949870208,DA
595692619423500416,DA
595747217046849024,DA
595815146249705472,DA+M
595824702553000448,sdB
595867686585664256,DA
595905031325178112,DA
595905512361523712,DA
595926059485757056,DA
595960316144337408,DA+:
595999623685936512,DA
596001925788422400,DA
596033060006696192,DA
596121325879718272,DC
596144931019140736,DC
596148057756579072,DBA
596151321930887296,DC
596164962746244224,DA
596206675469277952,DA
596210042728108544,DB
596210180162536832,DC
596212344826146176,DA
596230211889916160,DA
596270378423337984,DA
596328102783644672,DA
596340987686081792,DA
596366555626116096,WD+M
596396100705954176,DA
596427574226596096,DC:
596434068217137152,DQ
596445716168092032,DA
596463273994426112,DC
596474372190008832,DB
596532508867463808,DB
596584151554928512,DA
596589546037204352,DA
596606004348049536,DA
596608821846214016,sdA
596625451959700608,CND
596634626009611392,sdB
596680427540895872,DOZ
596684963026743936,DZ
596721006392718464,DA
596734582784155392,D+M
596750006011756672,DA
596836145875637248,DA
596870402539161472,DB
596885658258180864,DA
596922354458961792,DA
596948884472297856,DA
596978326473226752,DA
597047217748033920,DB
597054467652894208,DA
597098104521164672,DC
597102541222525056,sdB
597134594563166848,DC
597137725595544064,DA
597188333194135168,DA
597192215844020864,DA
597244923682987648,DA
597268872420787840,DA
597276569002126464,CND
597324024095840512,DAO
597326974738337792,DA
597376727639305600,DA
597385351934048384,DA
597393701350103808,DA
597497399040479104,DA
597516228177015040,WD+M
597516949731519104,DA
597572681227644544,DA
597594843258572544,ELM-DA
597622709006459008,DA
597639205976057344,DA
597646245427109376,DA
597669236386880768,DA+DB/DC
597684526470998272,DA
597744651717794560,DA+M
597790178370867712,DC:DA
597819555947490432,CND
597822064207947776,DA
597848967883318272,DA
597858043149887488,DB
597897689992071168,DC
597986269398324224,DA
598004067742089216,DA
598013379231183360,DA
598089486052350592,DA
598094816106822016,DA+M
598147004253732096,DC
598240497102033024,DA
598241871491592704,DA
598278159670667264,DA
598347974363528192,DA
598358900760836864,DA
598361855698052608,DA
598388965531997696,D
598405526925912320,DZ
598412403168328960,DAZ
598468096008992640,DA
598486753347131904,DB
598535028779235712,DA
598546367496029440,DBA:
598632747875291776,DA
598646113813329536,DA
598649343628980224,DA
598651027256621312,DA
598657108930282752,DA
598658144017268864,DB
598684768519413120,DC
598693839490577152,DA
598704078692050048,DA
598707033629612928,DA
598707239788040448,DQ
598769843231677056,DA
598777986489791616,DA:
598778295727184512,DA
598784892796870144,DA
598793723249635200,DA
598794376084628224,DB
598800629557063296,DB
598805783517439232,DA
598826502440167040,DA
598871582416890752,DA
598909348064575104,DAM
598924496413524992,DA
598946624085572096,DA
598956760207913984,DA
598971431816236928,DA
599080558345390080,DA
599097016661294464,DC
599102857816360576,DA
599123782896409984,DZ
599133231824494592,DA
599196354960166784,
599220230682438016,DA
599221849885295232,DA
599234558692544640,DA
599256377127295616,DB
599293451284328960,DA
599294211494840704,sdB
599336645771640704,DB
599346262202306176,DA
599437109351196288,DA
599497208828794112,CND
599546923074316672,DA
599575617751905792,DA
599615711270729984,DA
599618150812167296,DA
599702748783705856,DA+M
599715526310864384,DA
599730683251019648,DA+M
599736348312319360,DA
599739749926423168,DA
599820460951495680,CND
599827917015378304,DBZ
599834518380440960,DA
599894849785434624,DA
599922307511771776,DC
599947802437634176,DA
599964707429267200,DA:
600006042194479232,DA
600053870950091648,DA
600139357980010752,DC
600163061902898048,DA
600191546126077440,DA
600231884459388032,DB
600258307097240448,DA
600297481495526400,CND
600394066720747264,DA
600427391369964672,DA
600433335604849280,DA
600446461024964480,DA
600451683705273088,DA
600473089822184320,DA
600497489533763200,CND
600500577612966272,DA
600516864129082624,DA
600629529711540992,DA
600726905209582720,DA
600781708992448256,DA
600931964127719168,DA
601020028137823744,DA
601109367753989760,DA
601116407203289344,DA+M:
601143040297053312,DBA
601166469342217472,DA
601196843351062528,sdA
601226740619573504,DA
601235979093310848,DA
601242370004663680,DA
601258416002498944,DA
601290576717678080,DA+M
601350843698633984,DA
601361151619671296,DA
601387436820192640,DB:
601395133401579904,DA
601444306482580992,sdB
601543326952514176,DA
601566038739612160,DA
601580298033674112,ELM-DA
601585039674888320,sdA
601590163571030272,DA
601641084704149376,DA+dMe
601707227200568448,DQ
601708769092807808,DA
601839610976284416,DA
601844524421586816,
601856275449785344,DC
602023057619619968,DC
602075731098945792,DC
602204653132718976,DA
602210249474940672,DA
602240181102508288,DA
602243853298434176,DA+M
602270211513797120,DA
602283130775405056,DZ
602329138466069888,DA
602421256924272384,DA
602438161915494400,DA
602511172062922624,DA
602538556774507904,DC
602669506032575488,CND
602778559547776640,DC
602783649084471936,DA+M
602804432429850496,DA+M
602829583759155200,DA
602872327273005440,DB
603010973113477632,DA
603025777864658176,CND
603035604749941632,WD+MS
603072713267196160,DA
603074981009914624,DA
603084228076705920,DA+M:
603090206670150400,DZ
603097692797009408,DA
603155765049434752,DC
603166652792073088,DA
603172287789212928,DA
603274508010618496,DA
603284300536234240,DA
603338210965969280,sdB
603409644862180992,WD+M
603507643130672256,DC
603508192887054336,sdB
603543888359619968,DZ
603548050182940672,DA
603609687258721152,DA
603638652518160256,DBA
603649716353918848,DA
603754827088328704,DZ
603783891132232576,DA
603803647981890688,DA
603882366142149120,DA
603986308646058496,DBAZ
604070107752237056,DA
604127802048700032,DC
604136696925316736,DA
604162398009822336,DZ
604163909838347264,DC
604197066985925632,DA
604234038064229760,DA
604238612204857088,sdB+WD
604277954105273984,DA+M
604293789655345536,
604323339024806272,DA
604416389491246976,sdB
604474251290699776,sdB
604482635066777984,sdA
604485791866995328,sdA
604487028817627264,DA:
604577669807887232,DB
604649859617712384,sdB
604684429810162048,DA+M
604720301376941312,DA
604721293514179712,DA
604738267224641920,DA
604739710333671680,sdA
604756306087740672,DA
604778365039426304,DA:
604794342318395520,sdB
604854854112338176,DB
604878454958072320,DA
604881311110788864,DA
604898490980773888,DB
604917698073661952,DAwk
604920103257754624,DA+M
604936900872207488,DA
604972428842238080,DAH
605044588587637248,DA
605118805622453376,DA
605151374359407360,DA
605170375294765440,DA+M:
605243943789709440,DA
605256347655148800,DA:
605261291162123264,DA
605266311978781568,D+?
605295066785440256,DB+K
605331728625645824,DOZ
605446833749844608,DA
605449238931531520,DBZH+M
605508268961816832,DB
605559842928931968,DA
605644127367159040,DA
605708964193665152,DA:
605751913866106496,DA
605781600680653312,DA
605785796863915008,DA+M
605849014487248640,DA
605869973927799168,DA
605881862396630144,DA
606020744459154816,DAO
606124957546149504,DA
606216148291719680,DA
606275212681633792,DA
606315516654558848,sdB
606371115006682368,DAH
606459861915872896,DA
606465325114279296,DA
606481783428596992,DA
606486628151706496,DA
606501510213336448,
606643622091639168,DA+M
606643892674767360,DA
606660832025256448,DA
606711650081915392,DA:
606773188370220672,DA
606893584893260288,DA
606938634805314816,DA
606938634805314944,
606956776747174016,DB
607102766980567936,DA
607141254182497024,DA
607206567749796608,DA
607285457709014912,DA
607337929324879104,DA
607383795280578944,DA
607406816305401856,?
607414134929777280,DA
607478387644308736,WD+MS
607535218647587328,DC
607541712638221696,DA
607558548910092032,DA
607572670762622336,DA
607612699857227264,DA
607672176564452352,DA
607684030674277120,DA
607889192672029568,DA:
607927263262056192,DA
607933448015436416,He-sdO
607977291041540608,CND
607984785759304192,DA
607985090702026752,DA
607996429415293568,DA
608037111346426112,DA
608091812049315200,sdOB
608113531698574592,DZA
608119265480565888,DA
608135002240717056,DA
608231729199241472,DA
608294087828806016,DZ
608311336417663616,CND
608321987936538496,DA
608342711154788224,DA
608462038230600704,DA
608500692935889920,DA
608512581405117056,DC:
608548315533169152,DA
608566083813344512,DA+M
608572917106032000,DA
608589478499589120,DA
608613156654867456,DC
608634116095446016,DA:
608688228388415872,DA
608700907131413504,DA
608702762557344512,DA
608784779252397696,DA
608789486537441664,DA+M
608798110831521280,DZ
608861401469075840,DA
608869922684702976,DA
608890611542696192,DA+M
608900743369444992,DA
608920259701018496,DA
608922974120358784,DA
608943143286998016,sdA
608997294234359808,DA
609057904812993408,DA
609085426963541632,DA
609093501502096000,DB
609137241448669312,DA
609161671222866688,DA
609175037161325568,sdO
609175896154789248,DA
609236712891803264,DZ
609242450968193920,DA
609248704440606592,DA
609266915101197056,DA
609387109762163200,DA
609475169475994112,DA+M
609475581792870528,DO
609523582346923648,DBAH:
609528255272111360,DA
609568219942815744,DA
609571415399831296,DA
609578695367162880,DA
609652847978639360,DA
609669714314007680,DC
609672433030557696,DZ
609715515845349888,DA
609715515845349888,DA
609724552456587264,DA
609814368812850176,DA:
609819247895405312,DA
609825157770773120,?
609830797065092352,DAH
609832785632745600,DA
609834507915700480,DA
609898313949732608,DZ
609902570261469312,DC
609956171453490304,DA
610015201483494272,DA
610025509405198464,DC
610045884729755264,DA
610055441034137856,DA
610076121299976320,DA
610091961139288448,sdA
610094744278102912,D
610181987949417088,?
610194284439941376,DA
610224486650467200,DA
610278912475747968,DA
610320728277429632,DA
610411820238973056,DC
610424048012759936,sdA
610470158779392128,?
610477344259985280,DA
610478649930041856,DA
610488167578101760,?
610493592121131392,DA
610573581592033664,DA+M
610628522813893760,
610630481318960000,DA
610645427805256960,DA
610673881963639552,DA+M
610724081541304832,DA
610726929104441472,DA
610807365251620736,DC:
610896872370416128,CND
610896945385002880,DA
610898178040450432,?
610906974133485056,?
610909070077557632,DZ
610910066509989632,DA
610925975068904576,DC
610933259333460736,DA
610987582079270016,DA:
611074413433751680,DC
611167150367477888,DA
611174086739403904,DA
611222396531208448,DA
611286889760636160,DA
611387460714600064,DZ
611401999180118528,DBH
611423572799784832,DA
611476486796927616,WD+M
611482156153802240,DAH
611546408864413056,?
611566852908865280,DA
611583414302397824,DC+MS
611587919724027392,sdB
611645983387812992,DC
611665877674750720,DA
611668901331739904,DA
611682095471325312,DA
611699275340029696,sdB
611699481498487936,DA:
611759507961671552,DAB:
611880630335163904,DA+M
611890044903514112,DA
611994872169828352,DA
612055276589483008,?
612124167864969088,DA
612132414202027136,
612200652642509952,DA
612248584478056832,DA
612262122214240512,DA
612302151309751552,DC
612308782739047552,DA
612351182656535424,DA
612422242891595264,DA
612430381853447808,DC
612465222627864192,DA
612479825516755072,DA
612526657839874944,DA
612537859114637440,DOZ
612563388400502272,DA
612564247394008832,DA
612631592481158656,DA
612683888002836736,DA
612701548908929792,DA
612716838992282496,DA
612727735323918592,DA:
612739447699574272,DB:DC
612768550398654080,DAO+M
612781160422662016,CND
612800367516500992,DA
612988182140954240,DA
613018139538163456,DA
613056626739835776,DC
613117473541919616,DA
613119810004136576,DA:
613215845472962688,DA
613219762482485632,sdOB
613259757218024576,DBA
613280407421438208,DA
613321089350788352,CND
613450522485119872,DC
613473784028126336,DA+M
613504432914593408,DQ
613553056239392768,DQ
613599991642291456,DA
613602289450102272,DA
613606691791261952,sdA
613654967223878528,DA
613664274418028800,DC
613674616699312768,DA
613734918040262656,DA
613742477182156800,DA
613781509845661440,DA
613802847242873344,DA
613837722377297792,sdA
613919876511620864,DA
613947643475604608,DA
613956022956624128,DA
613973408983585536,DC
613987187238694144,DQ
614039448401697024,DA
614067451587640704,DA
614096279408275840,DA
614097138403737344,DAH:
614145585632943616,DA
614239387718620032,DA
614379236149119360,DA
614489526613850240,sdA
614532510646510720,DA
614536771254377344,DA
614569481725163904,DA
614573089497899520,DA
614643325098055680,DA
614711627962567808,None
614777637315115904,DA
614779144848945024,CND
614972658894818688,DA
615022446156507648,DC
615037976757661696,DA
615156689654035328,DA
615161091995252864,PN
615287570192354304,DA
615291276748919680,DC
615345393336926976,DA
615348898029906944,DA
615421225279749248,DA
615448850508830336,DAB
615596940981735424,DA
615664320428251264,DA
615705144092773376,DC
615730840881967872,DA
615733593956317568,DC
615832923664565120,DA
615888414642134400,DA
615905044755314048,DA
615991425142335744,DA:
616058667145537920,DA
616217718374853376,sdB
616320935029143808,DA
616338080538185088,DA
616394263005643776,DA
616396182856185728,DC
616408586721046528,DA
616458824954146688,sdB
616587738397098240,DA
616601551011981056,sdA
616653949613059840,DA
616712429888284288,DZ
616743220508208896,He-sdOB
616823209979081472,DA+M
617094132222221824,CND
617119489708113280,DA:
617184292174676480,DA
617263594450732160,DB
617329255911052416,CND
617344305475915392,DA+M
617356365744628992,DA
617382066828974592,sdA
617411723578066048,DA:
617424982141602688,DA
617427318603832704,sdA
617535002024233984,DA
617538957689056000,DA
617587538064096640,DA
617595990559655936,DA
617654780072441472,DA
617720789424527488,WD+M
617788679972796800,DA
617858464601155712,DA
617858911277765888,sdA
617871624381257088,DA
617887154982474112,DC
617887567299257600,WD+M
617887567299258752,DA
617918937740975744,DA
617961337658179328,CV
618016072720833664,DA:+M
618139424181751552,DA
618167083770862592,DA
618215049965645824,
618272400664424832,DA
618475187545016704,DAH:
618478073767257728,DA
618571635330439040,DC
618596924098037120,DA
618637021913029632,DA
618691623832343552,sdA
618715636993981824,DA
618761541604432640,DA?
618794355154700416,DA+M
618925471916513792,DBA
619006698338044928,DA
619066965319037952,DA
619089406523659264,DA
619097133169391872,DA
619100809661410688,DA:
619153448780495872,sdB
619193001134716544,DA
619218594844572800,DC
619480897087519872,DA
619582361394273152,WD+MS
619583976302459392,DZ
619584766576266240,DA
619604351627305472,DA:
619658708733339008,CND
619699115785359360,DA
619819615387981952,DA:
619884005537511680,DA
619982003806222976,CND
620005948248950528,DA
620070750715749504,DZ
620091435278404608,sdB
620223243529610880,DA
620256568180808576,DB+M
620291374595999104,DA
620298383988029568,CND
620305397664435072,DA
620363461327234816,DA
620491279553509504,DA
620566974057395840,sdB
620657408888950272,DA
620674073362096640,DC
620682083476172160,DC
620704657823586048,DA
620732931593768832,DA
620737363999489536,DA:
620760900420404480,DA
620778355167599872,DA
620839584221246976,DA
620867209451426048,DA
620879132280146816,DA
620899404525808768,DAO+M
620954483186339072,DA
620967402448082432,DA
620978603722540160,DA
620987949571979648,DO
620993687648036608,DA+M
621020797481612416,DA
621142705833591808,DA:+MS
621162329538710784,DA+M
621256299128383488,DA
621349620178145920,DA
621355736211601024,DA+M
621374324829613696,DA:
621376145895661440,DA
621382708605839488,DC
621474483467288064,DA
621483180775467776,CND
621515612073783936,DA
621721701784832128,DBA
621744589665417216,sdA
621767984352332160,WD+M
621785095501551104,DA
621824987157964544,DA
621971943758980608,DAZ
621979502901486720,DAH
621979983937830656,DAO+M
621986203050503552,sdB
621997163807458048,DC
622003760877238656,
622037880097042048,DAH
622061588316231168,DA
622229366919048064,DA
622245138038678272,sdA
622298086396135936,DA
622302385658333312,DA
622397420399514752,DA
622436869674322048,DA
622460092562138880,DA+M
622466723991643776,DA
622536749138267904,DC
622552451539341824,DA
622604575262193792,DB
622610382058482560,DA
622745347109768832,sdB
622867702139132928,DA
623027921598857088,DAZ+M
623071489746356352,DA
623090903002581760,DA
623095197965972480,DA
623238757248069120,DA:
623281152870568832,WD+M
623291048475264768,DZ
623353003377798144,sd
623384098941292672,DA
623415774325348480,DA
623431515380219136,DA
623441681567607552,DA
623516310919459584,DB
623595303957764224,DB
623623994339416320,DA
623728997700276864,DA
623734465193065088,CND
623860531073973248,DA+M
623895200049917184,DA+M
623941650120846336,DA
623943303683697408,DA
624000233474804224,DA
624003806887602048,DA
624090737025312000,DC
624118568413842688,DA
624135370325507840,sdB
624222476557683072,DAZ:
624248757462008320,DBA
624273599552873216,DA
624309642918779264,DC
624315793311881216,DC
624386849251346176,DA
624401417779664768,sdA
624417738655761408,DA
624510170646474112,DA
624531812987074304,DA
624581428448988288,DZ
624600566824086016,DA
624708112804749056,DA
624711273900724864,DAH
624773533746685568,DA
624850259042018944,DA
624863216958183936,DAZ
624898259596567808,DAH+M
624921521139276800,DC
624923685802793344,DA+M
624992061682618112,DA
624993779669373952,D
625054493327257856,CND
625068134142899968,DA
625075796364911360,DA
625085691969472128,DA
625111255615003520,DA
625116237776807168,DA
625121082500168960,ELM-DA
625133520725582208,DBZA
625201346848778752,DA
625206466449761536,DA
625245155515365248,DA
625314738280264320,DA
625385240168648576,DA
625413621312336512,DA
625415030061614336,DA
625482345084277376,DA
625541851855993856,DA
625552610749580416,DA+M
625586107199096960,DA
625619814102557568,He-sdO
625638819332596608,DA
625669292125492096,DZ
625674725259220608,DA
625682971596384896,DA
625697570190245120,DA
625725504657437184,DAZ
625726093068598912,DAZ:
625735812579261568,DA
625752992448089600,DA
625791715873300224,DA
625838479477556224,DA
625925620069111936,DC
625935099062026112,sdA
626035811749800448,DA
626112262167369472,CND
626151084377415936,DA
626185753353310592,DA
626271721418278400,DA+M
626319721972908288,DA
626329892455217152,CND
626343705070034432,DBZA
626369685327491072,DA+MS
626369685327491200,DA+M
626411702993030528,DA
626427371033272192,DA
626494956638789248,DA
626510762118655104,DB:
626652156736743680,DA
626719772406892288,CV
626721559113301504,DC
626727434628120192,DA
626738086147095424,DA
626762825158727552,DBAZ+M
626791171943155072,DA
626844326458669568,DA
626904013619323904,sdA
626929263731392000,DA
626950257532282624,DAH
627028906972788352,DA
627036332971606144,DA
627124427049523712,DA
627130616093753600,sdOB
627140919719795200,DA
627151433802913792,CND
627194417832302848,DA
627240597321087488,DC
627240975278230912,DA
627292927202299008,DA
627298596559149824,DA
627367831432241664,DA
627412945768300800,DA
627421673141881984,DA
627435932433330048,DZ
627503002642979712,DA
627504205233835392,DA
627547876461156224,DC
627630786510080000,DA
627724760394314368,DA
627730326672002304,DA
627764274093469696,DA
627764274093472896,DA
627789219263740672,DA
627894256983735040,DB
627963491856977536,DA
628042210017489024,DA
628050628153160576,DA
628053205133566464,DA
628067498784238208,DC
628141337862068864,DA
628163706052100096,sdA
628202910513393536,DA
628240951038773888,DA
628264758042673664,DA
628298121348694272,DA+M
628328942033477760,DC
628369555244653184,DA
628375057097941760,DA
628414394703219200,DC:
628434735667963008,D
628442913285740032,DA
628522627879155328,DA
628573377212774656,DZ
628668214385785856,DA+M
628686558190946688,DA
628732703319175552,DA
628765894826442880,DA
628782559299616896,DB
628833824029653120,sdA
628840489818667008,DZ
628885123118425856,DA
628922609593253632,DA
629041872244950784,DA
629053868089117440,DA
629177043455806208,DA:
629290396233124992,DZ
629348945226808192,DA
629359424947122048,sdA
629446462459460864,DA
629454571357762688,DA
629520228524057472,DA
629594278053946752,sdOB+MS
629606059149118208,DA:
629683299840793856,DA
629701716660675712,DA
629717865737776896,He-sdOB
629718518572844544,DA
629767519854647424,sdB
629780537900754048,DH
629782462046141568,DA:
629846680397009664,DA
629982886694711040,DA
630032192919318272,DA
630042840143559168,DA
630058267665719168,DB:DC
630088298076859520,DA:
630096681853075456,DA
630102488648801024,DQ
630122245498468608,DA
630125062997043456,sdA
630227970413680000,DA
630280059777078272,DA
630281571605383552,DA
630309162475318400,DA
630407225168484608,DA
630522192853400448,DA:
630560332163012864,DBA+M
