GaiaEDR3,specClass
140490716714832256,DA
140501853566767360,DA
142086971376178688,STAR
142097240642789632,DA
142103872072722432,DA
142110812738893952,Unreli
142309412026312192,DA
142325599760180096,DC
142340610669960064,DA
142372187269043072,DA
142407612158190464,DA
142506121529015552,DB
142563021255258112,DA
142601675961203584,DA
142718464712849536,DA
142740592383134464,DA
142744234516819840,DC
142853739001253632,DA_MS
143167580851645184,STAR
143563478052546688,DA
147337482994736896,DA
147985404582267648,DA
152371871863155840,DA
175702855768911360,DA
235840781689958016,DA
236382733546395264,DA
238887180516275968,DA
238954972279457792,DA
239089799893131392,DB
239109213145234560,DA
239183090879100160,STAR
239187244111080448,DA
239204389620832128,STAR
239257170475611776,DA
239300974845345664,DA
239305548985873024,DA
239354369879148160,STAR
239505896325581568,DA
239560906266572160,DA
239608631943289728,DA
239613206084198016,DA
239645465583341312,DA
239706488477588736,DA
239710925180820480,DA
239717998989931136,DAH
240010400363718144,DA
240398218729464064,DA
240401242386599936,DA
282991581202866048,DB
282994467420983552,DA
283096760659311744,DA
283116139551733248,DA
284851405121786112,Unreli
285664665768995840,DC
286017265403662080,DA
286046677340566400,Unreli
286154360759650048,DZ
286195077051177600,DA
286198482961884800,DA_MS
286208477349177472,DA_MS
286210779451316992,DC
286237751845802112,DC
286282561240626560,DA
286325506617394560,DA
286421645165908608,DA
286451989111090816,DA
286500161464125952,DA
286502978963267968,DA
286547023850346240,DA
286746241613044096,DB
287010880318082560,DA
287096264268576256,DA
287097947896116224,DA
287180587361592704,DA
287184431357107456,DA
287211025794974720,DA
287339668661084672,DA
288261368636092544,STAR
288285145574811520,DC
288331118905308032,WD
288331118905308032,DA
288726633853486336,DA
288884551210983424,DA
289203924979806720,DA
289262096015719808,WD
289262096015719808,Unreli
289899709680663424,DA
289986433660930304,DA
289986433660930304,DA
290058176794427648,DA
290058176794427648,DA
290110266157914880,DAB
290110266157914880,DAB
290113324174546688,DA
290185995021498752,DAZ
290192798249722880,Unreli
290192798249722880,DA
290229838047278976,DA_MS
290229838047278976,DA
290295877464027520,STAR
290344462134278528,DBA
290410535910963584,DA
290531967521897856,DC
290543336300207616,DA
290543336300207616,DA
290567834793513728,DA
290567834793513728,DA
290678477446232960,DQ
290731455867715456,DC
290739874003641472,DC
290739874003641472,DC
290739874003641472,DC
290771141365123968,DA
290785572455279232,DA_MS
290786603247411968,DA
290807940645526400,DA
290903976114118400,DA
290945070361007488,DC
291098280434472192,DA
291116731613781504,DA
291186211300158592,DZA
291347594695740800,DA
291347594695740800,DA
291652468654641024,DA
291658790846637696,DA
291658790846637696,DA
291665559715015808,DA
291697411192761600,DBA
291697411192761600,DBA
291742078852051840,DA
291742078852051840,DA
291742078852051840,DA
291760598750858496,DC
291786853886589440,DA
291786853886589440,DA
291786853886589440,DA
291786853886589440,DA
291809080342229376,DA
291825195059227264,DA
291906249681856896,DA
291920337174940288,DA
291951673256091648,DA
291951673256091648,DA
291951673256091648,DA
292015376211519744,DBAZ
292015376211519744,DBA
292077704776800512,DA
292077704776800512,DA
292440925866009088,DA
292518712018871552,DA
292518712018871552,DA
292700303235852032,Unreli
292700303235852032,DA
293138458619500800,DQ
293251570878605696,DC
293272976994895360,Unreli
293274974155410176,DA
293529506802164480,STAR
293591594848810368,DC
293598501156237568,DA
293602040209313408,DA
